"GeneID"	"N4wkGK1"	"N4wkGK2"	"N4wkGK3"	"N4wkGK4"	"N4wkGK5"	"N8wkGK1"	"N8wkGK2"	"N8wkGK3"	"N8wkGK4"	"N8wkGK5"	"N12wkGK1"	"N12wkGK2"	"N12wkGK3"	"N12wkGK4"	"N12wkGK5"	"N16wkGK1"	"N16wkGK2"	"N16wkGK3"	"N16wkGK4"	"N16wkGK5"	"N20wkGK1"	"N20wkGK2"	"N20wkGK3"	"N20wkGK4"	"N20wkGK5"
302976	3.7695275	6.8333	3.340285	7.901295	6.2929	3.96806	5.8677765	1.91687	4.15137	10.138525	8.91593	10.40028	4.14028	5.54283	11.513385	7.255442	4.24221	7.86025	5.314005	4.572295	4.409215	13.80586	9.436335	4.23886	4.744965
500337	52.1867	38.9681	39.6549	29.636	57.0196	47.0136	52.9447	31.4164	32.8045	40.6384	39.2839	78.2973	39.7524	57.6283	28.0795	27.9841	58.9259	37.9267	36.4863	39.8867	28.5036	44.6712	69.165	55.5215	46.7984
312273	64.9238	1.92305	188.228	75.4731	49.5476	108.763	38.6946	2.73742	199.403	87.3003	20.929	28.3352	23.9424	62.5405	302.316	72.5005	145.937	4.69842	26.0787	12.2717	4.47001	159.438	52.1892	2.93695	295.656
83526	634.501	672.574	644.085	621.234	565.945	572.628	537.597	584.32	518.217	589.81	526.532	577.254	584.679	657.873	573.509	680.634	547.042	562.63	568.544	574.42	432.035	503.791	519.753	573.903	559.309
316740	1.02246	27.3518	18.0238	32.4365	23.5206	21.4822	25.2241	26.0437	45.3184	37.0259	33.8466	4.11126	69.7237	21.1353	29.1143	27.6919	29.3108	55.6625	58.7065	39.0906	33.3354	115.267	48.8024	23.3063	30.9644
300030	8.08433	14.3585	22.1164	5.01215	16.2731	7.77064	6.67444	15.039	6.63062	9.1369	7.46127	8.3461	8.56612	9.41967	11.154	13.7546	14.6528	5.07306	15.9939	4.65104	7.38225	3.15865	9.19331	10.5044	8.78119
29385	3.55506	1.67108	2.48109	1.08708	7.17558	3.40799	0.932338	4.27445	3.16293	2.47595	9.0095	2.2651	11.1147	1.85433	1.95324	0.859673	1.82246	3.58175	3.62198	2.95887	8.32216	3.93337	1.82014	1.33179	3.30422
300757	820.424	796.516	688.913	823.317	747.135	843.928	905.734	1008.33	908.206	913.985	968.778	891.224	880.922	875.705	935.872	980.172	890.148	1001.78	922.669	926.359	875.202	744.95	725.982	879.667	742.354
313115	278.354	242.982	301.672	248.957	255.317	225.153	278.656	179.67	277.188	234.012	181.645	236.225	238.09	274.361	222.69	274.952	201.982	236.359	221.844	182.496	269.632	301.979	281.383	255.662	279.256
366618	168.657	176.718	165.622	163.653	152.934	169.206	148.899	168.809	164.013	155.548	195.659	170.895	210.506	215.277	200.547	184.215	190.816	206.408	205.74	210.758	209.774	213.359	193.598	172.238	179.288
315191	40.85635	45.621	32.58453333	52.38013	43.00580667	50.55415333	41.18941333	29.57935667	45.49059333	28.26096667	52.83705	31.09474667	32.90746333	51.11061	35.52243667	18.49369333	59.30845667	38.00886667	52.64971	75.84528667	24.12801733	35.29723333	47.3805	21.48448	44.74809333
65054	2430.1	2743.57	2527.05	2699.08	2316.8	1697.85	1826.45	1722	1515.71	1818.32	1716.92	1745.86	1755.44	1693.08	1830.06	1847.52	1828.34	1577	1587.08	1707.42	1648.61	2123.8	2046.67	1683.22	2062.77
100312982	1007.106333	858.116	1026.235333	889.781	848.2253333	1003.446333	972.0576667	878.252	888.6193333	874.5133333	847.948	999.746	897.4183333	908.7116667	856.6923333	873.0203333	869.911	847.154	917.031	792.2213333	960.008	953.6096667	1089.094333	1068.141667	957.4376667
302935	260.93	224.618	241.7235	262.351	205.0245	204.143	180.6225	184.7885	189.618	208.4065	193.532	214.6665	246.2445	211.5535	221.0735	185.9915	176.884	228.786	177.0295	196.062	176.1375	95.3533	159.567	167.3405	140.596
364624	298.486	293.5	195.518	266.276	309.065	249.093	248.295	162.779	257.495	248.543	297.438	312.305	262.122	302.347	325.114	143.111	156.15	202.32	261.002	279.983	262.529	307.145	310.978	272.311	285.846
25642	6388.04	6134.12	5282.48	6716.77	5072.12	4978.26	5543.1	6216.38	5490.6	6333.62	7416.92	7137.19	6432.23	6343.28	6974.63	7822.14	7190.25	7006.33	7299.02	7006.56	7947.88	8707.22	7661.15	8125.17	8130.02
306147	16.44640333	22.41136667	22.46983333	16.27016	20.93788	12.45526333	17.34866667	15.05036	18.83401333	18.94732667	22.01793667	22.07614333	16.34396333	15.39786333	15.45334667	14.87795667	18.49040667	28.84617667	17.00929667	15.30989	16.92866	19.39614333	18.40323333	15.88256667	25.77028333
362265	125.509	156.042	172.351	161.893	147.608	139.351	144.842	102.774	141.667	130.117	173.184	143.921	117.494	112.478	125.296	114.967	121.449	96.3265	103.813	110.694	111.908	153.221	116.297	140.732	117.261
364380	292.608	291.705	269.055	289.9	275.606	332.832	350.536	278.086	317.912	342.149	321.613	318.046	310.357	337.073	286.134	300.52	330.472	298.19	302.04	299.072	333.707	301.856	281.955	279.072	253.796
361238	560.701	499.364	566.408	598.678	518.912	580.937	619.533	585.456	544.525	575.997	522.177	638.305	535.943	588.176	575.924	560.203	609.306	487.054	553.2	489.761	486.903	513.016	377.975	502.478	506.116
293654	2.57936	2.03391	1.9478	7.59854	8.09466	41.4518	4.11206	20.0251	9.68519	8.62366	1.88024	5.8867	7.33933	5.33098	3.28287	14.7581	9.61612	44.795	9.76798	10.4129	7.00076	8.22351	7.63702	6.04874	25.0766
361517	217.453	261.027	267.451	251.65	253.346	279.758	249.527	305.996	268.12	249.087	239.711	240.331	250.747	192.079	225.994	275.928	232.033	256.032	248.849	247.515	177.007	152.294	178.114	238.318	162.461
292381	25.9432	23.2148	30.6222	33.1138	42.392	32.1579	24.764	34.8616	29.1153	32.1219	33.7065	21.1536	41.4969	15.4154	21.8291	30.0998	35.8944	38.6346	32.6902	19.0591	33.4674	34.6213	27.225	20.7518	47.672
361205	2486.325	2596.775	2323.505	2861.65	2033.405	1410.325	1445.15	1388.723	1365.9905	1452.15	1011.257	996.174	1222.134	1067.5575	1143.3465	1207.871	1060.0045	1176.3255	985.9125	1185.3665	1221.6555	1167.114	1416.245	1176.0305	1326.44
307585	32.75141	38.18605	38.26105	29.13756	40.451945	28.635965	44.9237	29.88835	27.4074	34.16554	39.92103	28.32115	41.02235	38.492255	38.68242	32.88095	36.07145	43.9816	45.28417	27.83218	46.95845	56.85615	51.07685	26.3568	51.24205
305667	149.63	195.406	201.915	215.589	165.294	216.86	261.999	215.368	260.818	208.571	222.205	172.514	207.992	266.596	199.393	220.518	239.117	249.662	257.436	210.593	209.552	230.733	230.641	224.57	226.519
294408	77.217525	67.2764875	81.6393	76.94055	83.508325	70.3416	68.759325	44.409625	59.733965	60.08075	61.584565	57.8578975	64.11905	61.2126775	60.6517	51.38467	58.842675	53.348235	59.332275	65.197	70.1737025	75.3424125	69.4426075	65.58357	70.6769775
296190	99.0074	97.9665	116.989	102.111	127.262	108.176	118.539	116.831	109.278	100.846	87.9845	110.601	117.138	139.115	83.849	85.1117	115.867	109.549	90.0326	87.36	118.743	124.578	120.983	100.202	135.458
25323	2.41161	1.88433	2.71476	2.45407	3.56712	2.04064	2.01642	2.74961	3.89068	2.5775	2.70867	2.49933	1.43664	3.77138	1.46562	2.08003	2.86411	1.53624	3.43054	2.35436	1.49357	1.11951	2.89072	1.77085	4.65419
360626	117.744	73.4188	57.9825	65.5673	61.1672	152.534	48.0975	60.31	142.965	77.8379	47.6502	26.3088	30.6374	51.1872	67.3824	41.191	66.2699	59.2687	77.8492	64.2976	65.2261	54.4209	56.7318	50.6669	169.602
