"GeneID"	"N4wkWT1"	"N4wkWT2"	"N4wkWT3"	"N4wkWT4"	"N4wkWT5"	"N8wkWT1"	"N8wkWT2"	"N8wkWT3"	"N8wkWT4"	"N8wkWT5"	"N12wkWT1"	"N12wkWT2"	"N12wkWT3"	"N12wkWT4"	"N12wkWT5"	"N16wkWT1"	"N16wkWT2"	"N16wkWT3"	"N16wkWT4"	"N16wkWT5"	"N20wkWT1"	"N20wkWT2"	"N20wkWT3"	"N20wkWT4"	"N20wkWT5"
29616	29.1666	37.8351	33.5667	27.7655	22.8311	10.5174	33.0655	35.3497	38.9884	34.5724	17.8472	34.3465	31.5926	19.5502	24.104	21.988	26.5857	20.2	34.284	27.5823	5.21733	30.8782	23.981	45.4576	25.4206
360632	104.313975	70.78879	75.416915	69.749415	67.718345	153.93712	113.40635	78.30455	107.13166	66.30595	77.358865	58.59598	68.170495	54.34473	96.790745	51.706415	69.336025	64.25266	93.318345	91.1731	74.580545	111.9299	116.5911	84.60706	88.33441
116679	462.298	541.413	484.013	425.72	537.698	524.855	611.749	465.217	552.169	469.252	512.547	473.961	448.383	495.348	525.01	443.326	533.144	474.289	504.473	498.123	519.834	528.337	584.023	426.048	536.107
64677	9.44286	8.56873	0.503034	10.7334	8.30252	13.6387	1.26509	9.49911	10.9441	12.1751	5.72691	1.34084	6.90312	0.960206	3.981	3.04259	0.396052	6.37993	1.30723	4.90805	7.84126	9.3786	5.75711	9.50235	7.28277
58812	36.6227	29.4104	33.3131	42.7733	26.6907	5.56211	16.1932	47.0044	26.7482	45.3971	37.9517	16.9206	3.58492	37.8955	13.3736	33.8277	23.7031	26.9254	5.42623	10.2993	30.9134	19.9621	19.5708	25.15	31.4496
500638	24.1199	30.7537	21.7512	27.893	19.6233	20.3876	20.5171	34.0876	31.0055	22.9518	37.1636	30.8757	33.134	30.5954	21.536	27.6134	26.3673	24.8496	29.4119	9.616	37.6543	11.5214	20.8621	11.981	36.2023
257634	24.9921	31.4428	30.6762	43.3842	31.1416	36.2428	10.4355	22.9639	39.0961	41.16	26.6139	22.3535	31.2632	41.1259	24.6069	7.16543	28.5277	33.5927	4.78389	27.7772	37.7908	38.3479	39.5168	39.6695	42.7887
361632	228.4565	230.699	259.619	224.8115	270.9805	274.8465	227.9825	314.5915	271.5105	291.664	372.1365	294.3055	348.5355	372.6765	399.4395	409.0615	360.6765	342.7485	323.121	350.0485	274.728	276.665	296.52	359.5575	373.83
291675	21.0684	9.97215	2.39001	16.0029	19.8698	7.24398	0.951829	25.1767	2.17698	11.7008	17.3172	14.2591	15.4299	26.5814	19.4051	13.616	20.3637	28.1689	5.64158	12.0049	36.5907	8.53604	10.2533	18.259	16.2285
81662	88.1226	77.4538	83.3048	81.4439	87.4958	57.8155	65.1681	64.6012	73.4036	53.2261	64.568	54.4787	54.2167	59.7275	39.0692	46.1423	64.4526	55.8519	47.6193	48.755	57.2141	54.041	57.7971	48.4124	45.1766
171398	276.262	1206.34	676.14	610.246	900.27	2369.8	2106.37	2496.27	2316.1	2361.11	2123.65	1850.47	1868.89	2033.66	2253.31	1994.1	2097.71	2624.52	2059.64	2451.45	2253.68	2291.9	2332.86	2102.13	2292.65
362061	209.987	196.4505	164.1185	180.256	143.856	231.6985	186.756	175.1885	196.0275	198.3695	136.897	153.935	220.751	185.5225	196.0355	206.641	232.6495	180.122	243.645	285.431	222.887	200.882	251.766	267.441	175.423
298557	15.9111	15.3004	22.297	10.2008	29.774	11.5184	51.3306	50.2591	50.2276	45.4907	52.2712	33.3198	17.904	43.5073	26.9346	44.1438	27.9827	47.9045	25.2832	25.4218	57.8325	24.8469	39.8085	41.1339	40.9383
303685	322.886	302.134	301.931	285.459	312.055	151.853	169.558	77.2156	142.79	106.754	141.627	156.897	166.995	181.016	210.842	128.384	110.849	168.819	131.463	133.776	131.188	122.715	149.769	83.9265	73.7608
360636	40.1973	53.1218	40.5775	23.7757	52.0471	54.5057	60.7983	45.6834	65.3165	54.575	20.814	43.1679	39.8794	55.8807	36.1794	39.5544	55.7386	62.6853	56.4861	61.4278	37.8405	38.0376	51.4604	70.4875	61.7071
