"id"	"X66_D0"	"X68_D0"	"X69_D0"	"X66_D4"	"X68_D4"	"X69_D4"	"X66_D7"	"X68_D7"	"X69_D7"	"X66_D28"	"X68_D28"	"X69_D28"
"ENSMMUG00000000090"	758	433	740	668	662	863	804	815	812	595	735	411
"ENSMMUG00000000091"	15	4	24	11	14	28	9	16	13	16	15	3
"ENSMMUG00000000092"	250	164	219	198	188	197	385	483	452	447	279	164
"ENSMMUG00000000093"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000097"	377	254	363	876	598	690	661	577	1029	499	428	199
"ENSMMUG00000000098"	12	3	15	17	43	76	36	66	90	21	20	10
"ENSMMUG00000000099"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000100"	1	0	1	0	1	0	5	9	10	0	2	0
"ENSMMUG00000000101"	1	0	0	0	0	0	0	0	1	0	0	0
"ENSMMUG00000000102"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000104"	332	122	294	144	204	243	118	152	90	314	324	183
"ENSMMUG00000000105"	914	629	1129	2093	1944	2237	375	273	333	1030	1151	549
"ENSMMUG00000000107"	190	125	193	297	267	239	364	186	215	207	208	59
"ENSMMUG00000000108"	5880	2517	4463	7787	8334	10222	9056	7848	10916	4899	6337	2566
"ENSMMUG00000000109"	85	107	124	86	86	45	135	181	144	75	142	89
"ENSMMUG00000000110"	45	36	60	38	46	63	17	19	14	56	36	8
"ENSMMUG00000000111"	18	12	14	20	41	68	108	234	135	15	39	12
"ENSMMUG00000000112"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000113"	0	3	1	2	1	2	19	22	9	0	0	1
"ENSMMUG00000000114"	0	0	0	0	0	0	0	0	2	0	0	0
"ENSMMUG00000000115"	0	0	0	2	1	0	0	0	1	0	0	0
"ENSMMUG00000000116"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000117"	2522	1335	1325	9525	6975	8389	10807	9602	14841	1369	2504	692
"ENSMMUG00000000118"	270	148	209	764	915	1292	2053	2382	2070	389	776	154
"ENSMMUG00000000120"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000121"	0	0	1	4	2	0	0	2	1	0	0	0
"ENSMMUG00000000122"	191	157	191	326	218	278	59	60	50	248	257	181
"ENSMMUG00000000123"	19	9	22	78	177	235	129	38	41	66	20	25
"ENSMMUG00000000124"	2	0	0	1	0	0	0	0	0	0	0	0
"ENSMMUG00000000125"	965	327	523	571	650	609	734	531	630	1131	900	318
"ENSMMUG00000000126"	189	314	158	290	370	302	220	217	266	125	196	98
"ENSMMUG00000000127"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000128"	0	0	1	1	0	2	0	2	0	2	0	0
"ENSMMUG00000000129"	1	0	0	2	0	0	4	10	3	0	0	0
"ENSMMUG00000000130"	31	21	29	227	101	132	520	599	343	18	60	18
"ENSMMUG00000000131"	0	3	0	0	1	0	0	3	0	0	3	0
"ENSMMUG00000000133"	0	0	1	1	0	1	1	2	2	0	0	0
"ENSMMUG00000000134"	1965	1446	1530	2397	2307	1996	1926	1446	2358	1384	1613	560
"ENSMMUG00000000135"	29	8	5	0	4	1	6	7	7	4	9	0
"ENSMMUG00000000136"	34	16	20	5	8	6	9	11	11	18	48	15
"ENSMMUG00000000137"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000138"	1	1	1	1	0	0	1	2	1	1	1	3
"ENSMMUG00000000140"	26	5	18	30	17	1	47	21	23	37	15	25
"ENSMMUG00000000141"	312	179	243	282	251	288	207	203	188	273	264	162
"ENSMMUG00000000142"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000143"	503	239	347	375	378	389	496	285	370	456	513	222
"ENSMMUG00000000144"	113	59	29	203	151	192	230	284	179	106	74	18
"ENSMMUG00000000145"	0	0	0	1	0	0	2	0	0	0	0	0
"ENSMMUG00000000146"	0	0	0	0	1	0	0	0	0	2	0	0
"ENSMMUG00000000147"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000148"	2	0	1	0	1	0	0	1	0	0	0	0
"ENSMMUG00000000149"	25	13	24	12	25	33	13	9	4	37	44	20
"ENSMMUG00000000151"	7	0	3	0	1	1	0	1	0	5	0	0
"ENSMMUG00000000152"	303	193	295	253	365	431	283	238	240	266	346	118
"ENSMMUG00000000153"	3	0	6	1	1	0	2	3	1	0	0	0
"ENSMMUG00000000154"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSMMUG00000000155"	3	0	0	0	0	0	0	1	0	1	1	0
"ENSMMUG00000000156"	238	199	201	262	199	208	138	67	46	386	379	147
"ENSMMUG00000000157"	0	0	0	0	2	0	0	0	0	0	0	0
"ENSMMUG00000000158"	105	74	99	88	64	61	128	56	32	80	147	30
"ENSMMUG00000000159"	4	12	8	1	4	3	2	2	0	3	4	13
"ENSMMUG00000000161"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000162"	216	97	181	363	303	397	159	154	231	234	181	101
"ENSMMUG00000000163"	0	0	0	0	0	0	1	0	1	0	0	0
"ENSMMUG00000000164"	23	1	0	7	1	2	37	7	0	0	1	0
"ENSMMUG00000000165"	195	237	219	145	125	196	164	136	208	267	244	221
"ENSMMUG00000000166"	630	295	259	447	376	409	400	236	127	272	141	193
"ENSMMUG00000000167"	108	46	93	62	77	131	27	53	29	109	68	52
"ENSMMUG00000000168"	16	38	86	28	25	39	63	19	18	29	60	21
"ENSMMUG00000000169"	104	64	91	66	54	79	103	110	159	90	79	43
