"id"	"X70_D0"	"X71_D0"	"X72_D0"	"X70_D4"	"X71_D4"	"X72_D4"	"X70_D7"	"X71_D7"	"X72_D7"	"X70_D28"	"X71_D28"	"X72_D28"
"ENSMMUG00000000090"	454	313	341	497	296	390	367	383	380	249	434	162
"ENSMMUG00000000091"	12	6	1	7	3	11	4	6	16	6	6	0
"ENSMMUG00000000092"	119	65	201	79	92	326	113	160	161	108	160	104
"ENSMMUG00000000093"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000097"	311	323	220	239	247	290	441	630	334	263	403	216
"ENSMMUG00000000098"	5	9	20	10	10	10	11	4	15	1	5	5
"ENSMMUG00000000099"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000100"	0	0	6	0	0	0	2	0	0	1	0	0
"ENSMMUG00000000101"	0	0	0	0	0	0	0	0	2	0	0	0
"ENSMMUG00000000102"	0	0	0	5	0	0	8	1	0	0	3	0
"ENSMMUG00000000104"	254	151	182	227	167	156	220	213	147	173	255	30
"ENSMMUG00000000105"	714	353	850	523	480	1055	763	1020	601	358	747	394
"ENSMMUG00000000107"	272	202	140	233	185	117	198	182	117	108	153	50
"ENSMMUG00000000108"	4038	3046	2872	5971	3704	2767	4957	5234	2860	2069	3467	1377
"ENSMMUG00000000109"	181	62	113	155	54	169	139	76	108	136	52	63
"ENSMMUG00000000110"	33	21	36	12	21	70	14	19	48	13	23	3
"ENSMMUG00000000111"	7	11	27	22	16	18	19	9	23	5	17	31
"ENSMMUG00000000112"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMMUG00000000113"	2	2	0	1	0	0	2	0	0	0	0	0
"ENSMMUG00000000114"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000115"	0	1	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000116"	0	0	0	0	0	0	2	0	0	0	0	0
"ENSMMUG00000000117"	749	803	815	1710	1079	905	1476	1850	1046	511	687	304
"ENSMMUG00000000118"	158	174	133	266	193	102	247	232	131	109	191	42
"ENSMMUG00000000120"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000121"	1	0	17	0	0	0	2	0	0	0	0	4
"ENSMMUG00000000122"	167	161	64	104	179	56	138	311	80	189	397	52
"ENSMMUG00000000123"	17	30	4	10	35	1	31	35	11	8	26	7
"ENSMMUG00000000124"	0	0	6	0	0	0	1	1	0	0	0	0
"ENSMMUG00000000125"	490	447	438	534	455	434	493	583	387	333	580	171
"ENSMMUG00000000126"	144	201	138	205	178	127	146	209	153	76	137	85
"ENSMMUG00000000127"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000128"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000129"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000130"	24	15	78	17	16	144	21	17	122	8	15	11
"ENSMMUG00000000131"	0	0	1	0	3	0	0	0	0	0	0	0
"ENSMMUG00000000133"	0	4	2	0	1	0	0	0	0	0	3	0
"ENSMMUG00000000134"	1518	1149	1132	1328	1314	1507	1538	1865	1259	629	1127	548
"ENSMMUG00000000135"	17	21	12	23	19	23	16	2	1	4	9	0
"ENSMMUG00000000136"	16	24	14	23	22	21	19	30	4	8	29	3
"ENSMMUG00000000137"	0	1	0	0	0	0	0	0	0	0	2	0
"ENSMMUG00000000138"	2	2	3	0	7	0	0	2	0	0	0	0
"ENSMMUG00000000140"	30	14	18	14	9	8	21	23	15	2	8	14
"ENSMMUG00000000141"	260	211	213	333	199	320	250	256	154	261	359	84
"ENSMMUG00000000142"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000143"	348	274	223	363	270	293	395	372	267	226	365	202
"ENSMMUG00000000144"	22	19	31	31	29	27	21	61	29	18	29	27
"ENSMMUG00000000145"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000146"	0	1	1	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000147"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000148"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000149"	8	3	13	4	5	29	3	10	11	0	14	15
"ENSMMUG00000000151"	0	0	1	0	0	0	0	3	6	0	0	0
"ENSMMUG00000000152"	280	387	227	367	396	228	385	336	176	179	428	116
"ENSMMUG00000000153"	0	0	4	0	0	0	1	0	2	0	0	0
"ENSMMUG00000000154"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000155"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSMMUG00000000156"	136	71	165	115	127	218	124	239	197	130	250	110
"ENSMMUG00000000157"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000158"	65	62	56	57	50	71	84	186	100	28	38	28
"ENSMMUG00000000159"	0	2	0	2	5	3	2	2	6	2	3	3
"ENSMMUG00000000161"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000162"	183	94	120	134	98	154	141	189	115	74	147	55
"ENSMMUG00000000163"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000164"	0	1	2	4	2	0	4	1	11	0	0	3
"ENSMMUG00000000165"	143	175	155	131	131	189	134	231	151	146	332	119
"ENSMMUG00000000166"	88	225	251	384	146	208	80	119	217	78	154	65
"ENSMMUG00000000167"	38	30	93	42	24	107	29	57	60	25	57	18
"ENSMMUG00000000168"	50	17	16	25	29	13	19	16	39	36	23	1
"ENSMMUG00000000169"	57	49	57	60	43	43	52	51	43	43	74	34
"ENSMMUG00000000170"	3203	4966	2381	6657	4579	2007	5185	4902	1493	1136	1841	805
"ENSMMUG00000000171"	21	14	38	19	11	27	18	32	28	16	17	22
"ENSMMUG00000000172"	224	889	234	1263	689	240	588	1003	302	128	277	132
"ENSMMUG00000000173"	1384	1378	785	2212	1108	802	1702	2050	843	752	1178	420
"ENSMMUG00000000174"	2	3	19	1	5	12	5	13	11	4	18	5
"ENSMMUG00000000175"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000177"	0	0	2	1	0	0	0	0	1	0	0	0
"ENSMMUG00000000178"	1	0	0	1	0	0	0	0	0	1	0	4
"ENSMMUG00000000179"	3	3	0	3	3	0	1	0	0	0	0	0
"ENSMMUG00000000180"	0	0	0	0	0	0	0	0	0	3	0	0
"ENSMMUG00000000181"	0	1	10	0	1	2	0	5	6	0	0	4
"ENSMMUG00000000182"	1000	921	680	1064	687	769	763	792	598	535	1235	552
"ENSMMUG00000000183"	195	105	127	165	128	153	181	259	122	70	162	45
"ENSMMUG00000000184"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000185"	24	168	56	316	183	59	59	127	52	13	48	20
"ENSMMUG00000000186"	4137	3495	2540	4089	3092	2651	3617	3617	2004	2306	3862	1281
"ENSMMUG00000000187"	766	669	679	841	622	700	981	830	705	445	794	227
"ENSMMUG00000000188"	479	483	333	857	464	263	486	465	250	310	572	184
"ENSMMUG00000000190"	379	421	315	466	304	388	305	312	251	250	407	206
"ENSMMUG00000000191"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000192"	4	4	5	1	0	2	2	2	0	0	0	0
"ENSMMUG00000000193"	231	189	196	236	150	283	268	316	151	221	340	65
"ENSMMUG00000000194"	11	1	8	8	4	7	3	3	1	3	10	1
"ENSMMUG00000000195"	5	8	21	22	12	15	2	19	32	10	28	18
"ENSMMUG00000000196"	57	26	110	39	8	114	23	18	115	12	12	21
"ENSMMUG00000000197"	1	1	5	0	0	5	1	3	0	0	0	0
"ENSMMUG00000000198"	17	20	30	23	19	39	19	37	59	15	9	30
"ENSMMUG00000000199"	1	2	20	4	2	9	0	1	38	4	7	7
"ENSMMUG00000000200"	0	0	3	0	0	0	1	6	0	0	0	0
"ENSMMUG00000000201"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000202"	0	8	2	16	4	5	3	3	8	15	3	0
"ENSMMUG00000000203"	337	206	189	300	195	263	328	246	171	129	239	45
